Seconds,Minutes,comment_id,Is Summary Node,Word Count,Words Shown,Percent Summarized
5689,94.81666667,75864,FALSE,13,473,91
5759,95.98333333,75865,FALSE,24,497,88
5908,98.46666667,75866,FALSE,67,564,81
6702,111.7,75867,FALSE,36,600,78
15948,265.8,75868,FALSE,59,659,73
62391,1039.85,75869,FALSE,39,698,70
62457,1040.95,75870,FALSE,31,729,68
62511,1041.85,75871,FALSE,20,749,67
62579,1042.983333,75872,FALSE,18,767,66
62626,1043.766667,75873,FALSE,10,777,65
77041,1284.016667,75874,FALSE,24,801,64
77197,1286.616667,75875,FALSE,51,852,61
77396,1289.933333,75877,FALSE,17,869,60
77460,1291,75878,FALSE,28,897,59
93000,1550,75862,TRUE,13,910,61
156216,2603.6,75879,FALSE,31,941,57
156278,2604.633333,75880,FALSE,47,988,55
156593,2609.883333,75881,TRUE,81,599,92
156751,2612.516667,75882,FALSE,26,625,90
156821,2613.683333,75883,FALSE,32,657,88
170940,2849,75862,TRUE,2,659,88
171000,2850,75848,TRUE,7,659,89
171586,2859.766667,75884,FALSE,3,662,88
171609,2860.15,75885,FALSE,7,669,87
171640,2860.666667,75886,TRUE,22,675,88
171723,2862.05,75887,FALSE,1,676,88
171766,2862.766667,75888,TRUE,22,675,88
171791,2863.183333,75889,FALSE,14,689,87
171805,2863.416667,75890,FALSE,1,690,87
171819,2863.65,75891,FALSE,7,697,87
171869,2864.483333,75892,FALSE,41,738,84
280639,4677.316667,75893,FALSE,19,757,83
280657,4677.616667,75894,FALSE,11,768,82
280792,4679.866667,75895,FALSE,8,776,82
280900,4681.666667,75896,FALSE,33,809,80
281044,4684.066667,75897,FALSE,38,847,78
281317,4688.616667,75898,TRUE,17,752,85
